wage, hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11
855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9
1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6
1040,40,115,49,15,8,15,35,1,0,0,1,3,4,-1,11
1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12
675,40,105,27,15,8,2,31,1,0,0,0,3,-1,14,12
1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7
996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10
732,40,73,28,10,17,5,36,1,0,0,1,5,6,-1,-1
1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8
1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16
686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10
754,40,104,37,13,9,5,32,1,0,0,1,1,2,8,-1
857,35,80,39,10,14,15,33,1,0,0,1,2,1,-1,12
832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8
579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16
672,61,96,38,12,13,3,34,1,0,0,1,2,-1,12,13
2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16
1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17
750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8
1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14
833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14
650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9
1250,46,110,37,12,5,16,38,1,0,0,0,1,1,-1,12
1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12
865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12
808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12
1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8
903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10
900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10
625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8
1586,40,92,47,14,16,1,36,1,0,1,1,4,4,12,-1
962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12
1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8
1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12
1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12
770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8
1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12
895,40,86,39,9,17,16,38,1,1,0,0,2,-1,-1,12
1205,40,86,32,10,13,0,32,1,1,0,1,5,5,8,-1
750,40,113,27,12,11,10,29,1,0,0,0,1,-1,12,12
654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9
601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12
600,40,106,32,13,10,11,28,1,0,0,1,6,-1,8,7
433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11
1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10
635,40,105,29,12,15,15,33,1,0,0,0,2,2,10,-1
1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9
1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8
865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8
1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12
1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10
1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10
1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15
1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18
1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12
809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12
1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8
1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9
1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12
500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12
1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8
900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6
800,40,112,39,12,15,3,34,1,0,0,1,6,4,7,-1
800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5
1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11
980,40,101,41,12,4,12,36,1,0,0,1,1,-1,6,9
884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10
480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6
923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12
513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8
1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8
1193,50,82,38,12,19,10,36,1,0,1,1,0,1,12,-1
2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16
779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12
950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12
1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12
1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8
650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11
670,40,93,27,13,9,5,29,1,0,0,1,2,-1,12,12
1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10
450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4
1028,40,111,28,12,19,12,37,1,1,1,1,3,4,12,-1
2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12
1899,40,127,49,18,9,14,36,0,0,0,1,0,1,10,-1
757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12
1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12
1162,48,102,40,16,8,11,31,1,0,0,1,3,2,12,-1
1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12
1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10
714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10
1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12
1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16
2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12
1273,55,120,44,14,11,16,36,1,0,0,0,1,1,12,-1
1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6
578,40,109,28,13,7,4,30,0,0,0,1,1,-1,12,11
942,40,85,36,12,7,10,38,1,0,0,1,4,5,-1,-1
1058,40,85,50,12,17,8,38,1,0,0,0,4,1,12,-1
750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10
1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10
951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9
635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7
1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5
675,40,110,34,12,6,15,34,1,0,0,1,2,1,7,-1
400,40,75,33,12,11,6,32,1,0,0,1,4,-1,7,12
577,50,94,17,12,9,8,29,1,0,0,1,2,-1,12,8
590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12
923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8
1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8
1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10
1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10
652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9
618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12
962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11
529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8
817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12
962,40,120,39,16,8,9,32,1,0,0,0,0,1,18,-1
840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8
866,40,121,30,16,7,4,28,1,0,0,0,1,-1,12,12
2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10
1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12
1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11
723,40,98,34,12,15,5,38,1,0,0,1,1,1,9,-1
1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12
1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11
1010,40,97,42,18,7,14,34,1,0,0,1,4,5,14,-1
971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8
525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8
525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12
670,45,117,33,12,10,3,30,1,0,0,0,5,2,12,-1
500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6
1058,45,98,45,14,14,15,34,1,0,0,0,2,3,-1,-1
550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11
500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11
727,55,106,40,15,10,5,31,0,0,0,1,1,-1,12,12
865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8
1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10
1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12
575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12
623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12
515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12
1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12
990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16
600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4
1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12
500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12
795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12
500,50,97,34,11,20,3,37,1,0,0,0,2,1,-1,-1
740,50,84,31,10,23,13,38,1,0,0,0,5,1,-1,9
1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14
1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14
1250,32,104,32,13,13,3,33,1,0,0,1,3,3,9,-1
913,40,110,26,14,4,13,29,1,0,0,1,3,4,9,-1
1346,40,99,33,16,9,8,30,1,0,0,1,2,-1,11,12
445,40,80,31,10,19,0,38,1,0,0,0,5,5,-1,-1
265,40,101,43,12,18,2,37,1,0,0,1,1,2,-1,-1
1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12
1607,56,108,41,13,7,9,36,1,0,0,1,2,1,-1,-1
1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10
1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9
821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8
794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9
500,30,90,46,13,10,1,38,1,0,0,0,4,3,-1,-1
520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14
1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8
1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18
1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18
2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17
923,50,123,44,14,8,7,31,1,0,0,1,1,2,8,-1
1115,40,118,40,16,12,13,33,1,0,0,1,1,1,8,-1
449,36,91,20,12,7,2,30,0,0,0,1,1,-1,-1,-1
1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7
826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6
937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6
978,48,104,36,12,19,15,36,1,0,0,1,5,6,6,-1
1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12
1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12
1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12
800,45,110,36,12,19,12,36,1,0,0,1,7,8,-1,-1
1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11
1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12
935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7
808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8
375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5
537,40,97,32,12,14,8,31,0,1,0,1,2,1,11,-1
1082,55,95,40,12,11,4,29,1,1,0,1,2,2,11,-1
930,40,126,44,14,10,1,31,0,0,0,1,3,-1,8,-1
1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8
548,40,86,22,11,7,0,33,1,1,0,1,5,2,11,-1
622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12
841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12
769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5
587,38,117,40,17,8,5,29,1,0,0,0,3,3,12,-1
1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12
1058,40,89,28,12,7,3,29,1,0,0,1,2,-1,8,6
417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6
1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16
1154,40,98,35,14,18,2,37,1,0,0,1,1,-1,10,14
1070,40,124,41,13,4,9,32,1,0,0,1,0,1,-1,-1
1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12
711,45,100,38,18,13,3,36,1,0,0,1,1,-1,10,16
1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9
850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12
1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12
490,49,82,33,18,7,8,31,0,0,0,1,2,-1,12,9
1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10
865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5
1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8
1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16
1602,65,97,47,15,14,14,37,1,0,0,1,1,1,8,-1
3078,65,120,50,14,12,13,36,1,0,1,1,1,2,12,-1
898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14
906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12
952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10
571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9
445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11
289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11
1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13
962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8
1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11
909,55,97,39,11,17,5,35,1,0,0,1,7,3,-1,-1
1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13
620,40,99,22,11,10,5,29,1,1,0,1,11,5,-1,-1
1016,40,72,18,10,14,15,37,1,1,0,1,8,9,11,-1
800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8
1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13
1079,50,87,33,12,18,9,36,1,0,0,1,5,5,8,-1
654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12
781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8
1038,48,103,36,15,8,2,36,1,0,1,0,2,1,12,15
1924,50,99,48,16,16,14,37,1,0,0,1,0,1,16,18
1202,40,101,40,15,15,17,37,1,0,0,1,3,2,12,12
666,70,117,34,15,8,2,32,1,0,0,1,0,1,-1,-1
905,45,109,41,14,11,14,36,1,0,0,1,3,4,8,8
890,70,73,46,12,6,8,31,1,0,0,1,3,1,12,12
817,40,116,27,16,10,7,31,1,0,1,0,1,2,16,16
812,40,98,42,12,10,2,29,0,0,0,1,3,2,12,12
577,60,104,43,14,6,2,30,1,0,1,1,2,3,14,12
756,40,78,29,14,9,2,31,1,0,0,1,2,2,12,12
1011,40,104,43,12,20,7,37,1,0,1,1,0,1,-1,-1
1155,45,85,39,12,14,1,34,1,0,0,1,2,1,12,12
1025,40,104,25,12,12,7,29,1,0,0,1,3,4,12,10
1350,40,107,37,12,17,12,35,1,0,0,0,2,3,-1,-1
1001,40,109,48,12,20,22,37,1,0,0,1,1,1,8,10
796,48,119,31,13,16,15,37,1,1,0,1,7,1,11,-1
1230,50,96,33,13,11,12,30,1,0,0,1,3,2,10,11
754,40,93,31,12,13,1,30,1,0,0,1,5,-1,-1,-1
714,40,90,32,12,17,1,37,1,0,0,0,5,3,12,12
1000,45,103,29,15,8,3,32,1,0,0,1,3,4,12,-1
2067,40,106,41,16,12,13,33,1,0,1,1,2,1,14,12
912,40,96,32,16,11,5,30,1,0,0,1,2,2,14,12
600,40,114,39,12,8,5,30,1,0,1,1,6,3,8,8
951,40,86,33,11,13,1,31,1,0,0,1,3,4,9,-1
711,45,110,38,16,8,5,32,1,0,1,1,3,2,13,12
1151,48,87,41,12,18,9,38,1,0,0,1,2,1,12,12
1000,40,89,31,12,9,5,28,1,0,0,1,2,3,13,12
841,44,106,40,12,15,10,31,1,0,0,1,5,6,8,-1
400,70,100,43,12,12,3,32,1,0,0,1,3,2,5,8
1175,45,111,38,12,17,14,34,1,0,0,1,0,1,16,4
1202,40,100,40,12,18,2,37,1,0,0,1,0,1,12,12
1442,40,114,38,12,16,17,33,1,0,0,1,2,3,12,10
538,55,98,45,18,5,1,34,1,0,0,1,2,2,13,-1
781,40,89,24,11,13,10,30,1,0,0,1,3,1,9,8
750,60,74,23,10,13,9,30,1,0,0,1,4,2,11,9
841,48,110,37,18,13,1,37,0,1,0,1,1,1,12,12
700,50,130,29,13,14,1,38,1,0,0,1,1,2,11,14
1346,50,108,51,16,9,4,36,1,0,0,1,1,2,12,10
800,45,98,31,12,16,12,33,1,0,0,0,3,4,10,8
1250,40,125,27,16,9,10,30,1,0,0,1,3,1,16,-1
1105,40,104,29,16,5,8,29,1,0,0,1,3,1,12,12
475,52,98,33,14,12,1,30,0,0,0,1,6,1,8,10
762,58,104,37,15,6,4,33,1,0,0,0,2,1,11,12
962,40,120,33,12,18,19,36,1,0,0,1,3,-1,8,8
721,40,134,38,13,9,9,30,0,0,1,1,3,3,8,8
800,50,92,28,9,18,13,34,1,0,0,1,0,1,8,8
658,40,129,34,16,11,9,30,1,0,0,1,2,1,13,16
1270,40,118,42,14,4,16,36,1,0,0,1,2,1,12,12
1313,40,107,37,12,11,7,28,1,0,0,0,1,-1,12,-1
824,42,92,37,12,19,15,38,1,0,0,1,1,1,12,11
1442,40,118,33,16,6,7,29,1,0,0,1,2,1,16,12
1400,42,108,38,17,7,3,31,1,0,0,1,2,1,12,14
1038,50,119,42,12,20,5,36,1,0,0,0,3,3,12,8
668,43,109,29,12,11,12,29,1,0,0,0,2,3,8,7
1100,40,91,41,12,18,10,36,1,0,0,0,2,3,8,8
1000,45,118,38,14,9,7,30,1,0,0,1,3,1,12,10
523,43,119,37,13,9,2,30,1,0,0,0,4,1,14,-1
1111,40,103,33,14,13,13,31,1,0,0,0,6,3,14,12
962,40,120,25,16,6,4,28,1,0,0,0,4,3,12,8
729,47,122,40,18,6,13,34,1,0,0,1,3,3,8,6
690,40,119,35,12,9,5,28,1,0,0,1,1,2,8,-1
1010,50,104,37,11,15,7,38,1,0,0,0,6,1,9,6
600,40,96,22,11,7,2,29,1,0,1,1,4,3,8,8
596,40,83,36,12,16,17,34,1,0,0,0,3,3,8,8
850,44,115,37,12,11,1,29,1,0,0,1,3,2,-1,-1
670,40,88,27,12,9,2,29,1,0,0,1,7,3,10,8
793,40,96,43,12,17,18,36,1,0,0,0,4,5,8,8
1442,40,123,42,17,14,7,38,1,0,1,0,2,3,12,6
670,50,108,43,12,14,8,34,1,0,1,1,5,1,11,7
876,45,116,35,16,10,8,29,1,0,0,1,2,1,12,12
841,40,109,45,18,13,2,36,1,0,0,0,3,4,16,12
975,40,97,39,13,8,0,31,1,0,0,1,3,1,12,12
1223,40,107,34,12,7,3,28,1,0,0,0,1,1,12,10
910,30,95,27,12,16,5,35,1,0,1,1,2,3,12,14
533,45,109,31,15,8,2,30,1,0,0,1,2,2,15,12
750,40,104,36,12,15,11,33,1,0,0,0,0,1,12,12
1206,40,110,37,12,16,4,38,1,0,0,1,1,1,12,12
745,40,94,40,13,17,1,36,0,0,0,0,2,3,13,8
900,40,103,38,12,15,1,37,1,0,1,0,3,3,8,6
1170,47,123,45,14,9,14,32,1,0,0,1,3,4,8,12
540,50,113,33,12,12,3,31,1,0,0,0,5,4,6,12
550,40,110,35,16,15,1,38,1,0,0,0,2,1,-1,-1
615,40,100,31,14,9,4,30,1,0,0,0,3,3,12,12
909,40,95,39,13,6,2,31,1,0,0,1,2,1,12,12
769,40,100,34,12,18,12,36,1,0,0,0,1,2,8,8
984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8
833,60,101,47,12,15,12,37,1,0,0,1,5,2,12,-1
879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16
1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5
1000,55,114,41,16,10,1,33,1,0,1,0,0,1,-1,-1
465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11
1100,40,92,37,13,21,12,38,1,1,0,1,6,6,12,-1
641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11
1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8
1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9
950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12
938,44,108,41,12,19,20,38,1,0,0,1,0,1,8,-1
1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8
586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11
693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12
562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12
375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8
673,40,91,29,12,7,11,38,1,0,0,0,0,1,6,-1
654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10
692,50,120,34,12,17,7,35,1,0,0,0,3,4,8,-1
1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15
1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16
1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12
1250,60,115,40,11,19,4,38,1,0,0,1,1,2,-1,-1
1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10
1424,50,96,47,17,15,12,37,1,0,0,1,2,3,-1,-1
854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16
888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10
1161,50,121,40,12,5,10,34,1,0,0,1,5,6,10,-1
583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9
1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13
947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12
1850,40,80,23,11,14,15,33,1,0,0,1,3,-1,10,10
1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10
758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12
