state,year,cpi,pop,cigarcons,income,cigartax,cigarprice,cigartaxspecific
GA,1995,1.5239999,7188538,97.474625,159800448,36,156.57307,37.431416
IA,1995,1.5239999,2840860,92.401596,60170928,60,190.89,69.089996
ID,1995,1.5239999,1165000,74.849785,22868920,52,179.63751,60.554169
IL,1995,1.5239999,11884935,83.265076,304767456,68.000008,198.47617,79.234505
IN,1995,1.5239999,5791819,134.25835,126525008,39.5,154.53375,46.858749
KS,1995,1.5239999,2586942,88.753441,56626672,48,175.21001,56.343334
KY,1995,1.5239999,3855248,172.64778,74079712,27,145.97968,35.263
LA,1995,1.5239999,4327978,105.17613,84572688,44,167.79535,50.453667
MA,1995,1.5239999,6062335,76.620644,170051568,75,217.10501,85.338333
MD,1995,1.5239999,5023650,77.473549,135115456,60,186.03375,68.858749
ME,1995,1.5239999,1237438,102.46978,25045934,61,197.23065,72.164001
MI,1995,1.5239999,9659871,81.388252,231594240,99,240.84967,112.633
MN,1995,1.5239999,4605445,82.945297,113216856,72,220.34866,86.415337
MO,1995,1.5239999,5324610,122.45028,117639672,41.000004,157.23009,42.38842
MS,1995,1.5239999,2690788,105.58245,46241956,42,169.2294,53.071083
MT,1995,1.5239999,868522,87.159569,16296835,42,156.21667,42
NC,1995,1.5239999,7185403,121.53806,157633568,29,149.994,34.769001
ND,1995,1.5239999,641548,79.806969,12243384,68,192.24867,78.882004
NE,1995,1.5239999,1635142,87.270706,36293064,58,182.175,66.675003
NH,1995,1.5239999,1145604,156.33675,28649564,49,166.64166,49
NJ,1995,1.5239999,7965523,80.371368,233208576,64,203.08717,75.495499
NM,1995,1.5239999,1682417,64.668869,31716160,45,176.14624,53.387917
NV,1995,1.5239999,1525777,93.526115,39377292,59,206.59917,72.515831
NY,1995,1.5239999,18150928,70.817322,503163328,80,221.858,88.532997
OH,1995,1.5239999,11155493,111.3801,255312928,48,165.89125,55.899582
OK,1995,1.5239999,3265547,108.68011,63333300,47,170.13499,55.101665
OR,1995,1.5239999,3141421,92.155746,71209312,62,190.3,62
PA,1995,1.5239999,12044780,95.643089,285923232,55,176.16316,64.971497
RI,1995,1.5239999,989203,92.5998,23786644,80,224.45924,94.68425
SC,1995,1.5239999,3699943,108.08275,72050072,31,152.81874,38.277084
SD,1995,1.5239999,728251,97.219231,14454129,47,168.03799,53.463001
TN,1995,1.5239999,5241168,122.32005,114259984,37,167.067,49.375332
TX,1995,1.5239999,18679706,73.079308,402096768,65,198.20233,76.219002
UT,1995,1.5239999,1976774,49.272198,37278220,50.5,180.97626,59.117916
VA,1995,1.5239999,6601392,105.38687,161441792,26.500006,166.66125,34.436256
VT,1995,1.5239999,582827,122.33475,12448607,44,175.63875,52.36375
WA,1995,1.5239999,5431024,65.530922,129680832,80.5,239.10934,96.14267
WI,1995,1.5239999,5137004,92.466347,115959680,62,201.38126,71.589584
WV,1995,1.5239999,1820560,115.56883,32611268,41,166.51718,50.425499
WY,1995,1.5239999,478447,112.23814,10293195,36,158.54166,36
